V_S,V_D,I_D
0.2,0.291,-0.00091
0.4,0.445,-0.00045
0.6,0.683,-0.000830000000000001
0.8,0.902,-0.00102
1,1.018,-0.00018
1.2,1.25,-0.0005
1.4,1.445,-0.000450000000000002
1.6,1.7,-0.000999999999999999
1.8,1.864,-0.000640000000000001
2,2.053,-0.000529999999999999
2.2,2.212,-0.00012
2.4,2.356,0.00044
2.6,2.507,0.00093
2.8,2.568,0.00232
3,2.648,0.00352
3.5,2.87,0.0063
4,3,0.01
4.5,3.161,0.01339
