V_S,V_D,I_D
0.2,0.211,-0.00011
0.4,0.361,0.00039
0.6,0.668,-0.000680000000000001
0.8,0.875,-0.00075
1,1.051,-0.000509999999999999
1.2,1.242,-0.00042
1.4,1.42,-0.0002
1.6,1.672,-0.000719999999999998
1.8,1.82,-0.0002
2,2.027,-0.000270000000000001
2.2,2.235,-0.000349999999999997
2.4,2.405,-5.00E-05
2.6,2.572,0.00028
2.8,2.632,0.00168
3,2.663,0.00337
3.5,2.784,0.00716
4,2.864,0.01136
4.5,2.931,0.01569
