V_S,V_D,I_D
0.2,0.278,-0.00078
0.4,0.442,-0.00042
0.6,0.674,-0.000740000000000001
0.8,0.862,-0.00062
1,1.012,-0.00012
1.2,1.26,-0.000600000000000001
1.4,1.44,-0.0004
1.6,1.635,-0.000349999999999999
1.8,1.78,0.0002
2,1.861,0.00139
2.2,1.895,0.00305
2.4,1.921,0.00479
2.6,1.95,0.0065
2.8,1.974,0.00826
3,1.99,0.0101
3.2,2.002,0.01198
3.5,2.028,0.01472
4,2.047,0.01953
