V_CE,V_C,I_C
0.026,0.26,0.00052
0.032,0.35,0.0007
0.038,0.45,0.0009
0.042,0.54,0.00108
0.051,0.72,0.00144
0.062,0.99,0.00198
0.072,1.25,0.0025
0.093,1.78,0.00356
0.201,2.68,0.00536
0.41,2.7,0.0054
0.709,2.71,0.00542
0.154,2.56,0.00512
1.434,2.73,0.00546
2.633,2.77,0.00554
7,2.9,0.0058
