V_CE,V_C,I_C
8.04,1.82,0.00364
4.85,1.78,0.00356
2.23,1.73,0.00346
1.4,1.68,0.00336
0.73,1.67,0.00334
0.201,1.64,0.00328
0.189,1.64,0.00328
0.16,1.6,0.0032
0.13,1.5,0.003
0.097,1.15,0.0023
0.083,0.95,0.0019
0.08,0.91,0.00182
0.075,0.84,0.00168
0.072,0.77,0.00154
0.07,0.76,0.00152
0.067,0.67,0.00134
0.064,0.65,0.0013
0.056,0.52,0.00104
0.049,0.42,0.00084
0.032,0.21,0.00042
