V_CE,V_C,I_C
0.011,0.11,0.00022
0.02,0.26,0.00052
0.03,0.47,0.00094
0.044,0.86,0.00172
0.06,1.4,0.0028
0.086,2.38,0.00476
0.12,3.38,0.00676
0.166,3.9,0.0078
0.135,3.63,0.00726
0.229,4.03,0.00806
1,4.09,0.00818
0.566,4.08,0.00816
1.677,4.16,0.00832
3.17,4.24,0.00848
5.49,4.36,0.00872
