V_CE,V_C,I_C
0.02,0.35,0.0007
0.04,0.96,0.00192
0.075,2.57,0.00514
0.114,4.17,0.00834
0.203,5.19,0.01038
0.146,4.87,0.00974
0.452,5.28,0.01056
1.332,5.38,0.01076
1.9,5.45,0.0109
2.937,5.53,0.01106
4.18,5.65,0.0113
